median_household_income,median_real_state_value,zipcode,population_density,cost_of_living,population
81671,650200,10001,35350,157.4,21966
33218,535600,10002,93461,168.9,82191
92540,817700,10003,99419,159.2,57310
129313,894200,10004,5015,156.1,2807
124670,1000001,10005,92791,158.3,6822
,,10006,27307,154.2,2507
216037,1000001,10007,39918,151.5,6525
59929,672800,10009,101865,162.0,62810
97955,746200,10010,78507,157.5,30670
104238,914500,10011,79233,159.4,52167
86594,1000001,10012,80873,164.7,26145
83725,1000001,10013,47194,163.2,26065
108483,947300,10014,53728,159.8,30597
105324,759600,10016,96202,156.7,51196
100652,637100,10017,50381,154.9,16129
104635,1000001,10018,21820,161.4,7021
84424,808600,10019,56459,161.4,38394
107907,1000001,10021,105558,160.1,40862
109019,866100,10022,67873,158.2,29618
103534,872500,10023,125003,158.9,61315
109956,1000001,10024,68967,160.0,59164
68516,934600,10025,129571,166.9,97390
43107,602400,10026,113954,164.9,37871
37872,716100,10027,71852,175.0,62617
104638,1000001,10028,140990,161.2,44295
31888,787000,10029,93875,186.2,77454
31925,509000,10030,102070,168.4,28472
37655,369800,10031,90800,157.2,59092
34568,334900,10032,90307,156.8,59374
41556,422100,10033,97115,158.4,58710
41171,354700,10034,36854,155.0,41510
24533,445900,10035,23985,172.1,33488
66599,810300,10036,52183,165.6,23132
37341,260200,10037,65825,150.9,17377
66074,616300,10038,67482,158.6,20082
33595,352300,10039,57392,157.3,26577
42721,317300,10040,118931,152.7,44825
83066,580400,10044,51085,156.1,12346
170630,966600,10069,49131,153.6,5118
96296,1000001,10128,127735,162.5,60121
129574,685700,10280,62719,152.8,8685
230952,1000001,10282,71066,150.9,6217
56848,402300,10301,10597,152.1,38885
56841,382000,10302,14075,151.3,16811
51537,325100,10303,7821,149.9,24537
53168,403700,10304,11119,152.9,43084
70758,415300,10305,9880,149.8,42006
75807,450200,10306,7480,150.1,55902
86457,567400,10307,7557,152.0,14829
88075,452600,10308,14666,149.1,28939
86297,539100,10309,4859,151.1,32646
61925,414600,10310,14051,151.5,25227
85324,467300,10312,7822,149.0,60081
77242,437500,10314,6369,149.5,87276
26754,170600,10451,46380,149.3,47069
25979,402800,10452,76102,168.4,74931
25470,445200,10453,87111,172.4,79793
20232,386000,10454,36541,173.8,38089
22609,318600,10455,54167,164.4,38576
23452,388600,10456,86133,170.0,87723
24949,397500,10457,66223,169.4,70282
24618,330300,10458,74193,164.5,74859
24461,343900,10459,58726,165.0,47977
22307,391700,10460,42634,172.3,56084
52347,454700,10461,21557,155.6,51730
45864,271300,10462,52278,149.9,77369
54258,289700,10463,48696,148.5,70420
70078,484000,10464,1213,152.6,4248
65450,437800,10465,13081,151.5,44862
44012,391300,10466,34986,155.5,70609
36048,369500,10467,42376,158.3,98754
33776,171200,10468,66796,147.8,71822
57776,427100,10469,29007,153.2,71843
58600,401200,10470,10423,151.9,14850
71798,360800,10471,8532,148.9,22030
30288,429600,10472,65585,166.0,68898
35866,386600,10473,26911,157.9,58660
25676,351800,10474,8165,164.6,12519
43629,76000,10475,25087,140.1,43231
101634,477300,11001,12128,153.0,27001
85672,380800,11003,10557,152.0,43739
81709,432500,11004,15248,148.8,14500
64300,403700,11005,11198,154.4,2055
101434,536900,11040,8411,153.7,40231
47142,654900,11101,9775,166.1,25537
49924,597700,11102,42745,163.3,34529
55129,648900,11103,53082,162.9,37745
56059,421800,11104,66113,154.1,25729
57525,658700,11105,22176,162.4,36190
48720,433600,11106,43018,156.4,36869
95369,669000,11201,38387,155.3,54668
48400,426100,11203,37086,155.6,79572
45472,657500,11204,50954,167.2,80963
44688,636900,11205,45332,166.4,43002
28559,533400,11206,56833,174.0,81525
32945,403800,11207,34630,162.0,92491
35079,441100,11208,27047,163.2,93107
58261,625600,11209,33587,160.2,72623
55429,485500,11210,39792,155.3,65302
46848,655500,11211,40583,166.4,93271
28348,391700,11212,54957,164.6,84520
34794,582300,11213,56882,171.0,62059
43398,598800,11214,38060,165.5,83156
95654,913200,11215,31628,160.3,68891
43996,623300,11216,57495,166.2,53783
81862,857000,11217,51667,161.5,38787
52445,546300,11218,52397,159.7,74758
34316,726700,11219,65430,180.8,96971
37580,615300,11220,57549,171.0,103089
39178,543800,11221,58787,165.7,81321
63739,726500,11222,22428,162.3,34186
41328,613000,11223,35968,167.4,74606
27481,317800,11224,27558,159.1,42535
42922,615700,11225,66957,166.7,59182
40734,480500,11226,76257,161.5,98325
61893,681700,11228,29885,160.5,43929
51725,524100,11229,37536,158.0,81030
42170,598000,11230,45777,166.6,84219
78174,912000,11231,24004,163.7,34137
43595,582900,11232,22424,165.3,28824
34492,551900,11233,50893,169.6,68599
68431,488200,11234,12492,152.6,94259
41639,531000,11235,33223,163.4,74630
61061,478700,11236,27041,154.2,97217
40372,464500,11237,56624,161.5,55478
65315,656800,11238,46936,159.4,51895
,,11239,22038,163.8,12879
46566,380600,11354,25961,155.1,56258
41884,507500,11355,47859,163.0,83221
58465,562900,11356,14660,158.9,23037
71978,590800,11357,14590,156.4,40872
65722,625200,11358,19656,158.7,38317
76183,524000,11360,13825,155.7,19865
75335,574200,11361,17402,155.6,30597
82332,538000,11362,7120,153.2,17865
90799,714200,11363,8467,156.1,7354
72909,510800,11364,14077,153.7,34751
55492,580300,11365,16792,160.0,41924
71350,610100,11366,12332,156.8,13499
56608,376400,11367,17268,151.4,41022
45964,480900,11368,41027,160.2,107962
53617,464500,11369,37862,156.3,40761
52500,517100,11370,26203,159.4,37244
48683,265500,11372,85863,149.3,63320
47667,499600,11373,65065,160.0,99159
52532,297300,11374,45083,150.0,42297
72000,358300,11375,35228,149.6,69757
49886,395800,11377,33947,154.6,86316
57474,538600,11378,12591,157.7,32268
69843,543800,11379,17268,154.5,35822
50799,495800,11385,27508,158.0,99379
83099,387900,11411,16014,147.8,18722
70672,385700,11412,22579,149.4,37176
78667,406200,11413,13028,149.7,40385
66790,501700,11414,12217,154.4,28094
63549,289800,11415,33697,147.9,19145
56724,447200,11416,38983,154.5,25950
62086,442900,11417,27706,153.0,31004
60691,427000,11418,22552,152.8,36828
56735,442900,11419,43560,154.5,49193
59832,421200,11420,23311,153.0,48449
60897,414700,11421,33063,152.5,42588
84824,413800,11422,16787,150.0,33280
60892,422200,11423,22415,152.1,31625
82301,460500,11426,14468,149.9,19575
70108,458400,11427,15758,151.5,24877
69330,407700,11428,24389,150.7,20307
68890,384700,11429,21737,150.1,28311
50450,519000,11432,28703,159.3,61687
42887,379700,11433,21148,155.0,32821
59229,371900,11434,19395,150.3,62809
53041,338100,11435,35351,151.3,53542
62114,365500,11436,22355,151.1,17636
39409,448200,11691,21558,160.1,61091
43354,355800,11692,17698,153.0,17674
50570,323100,11693,11367,149.1,11335
76944,623200,11694,15908,154.2,21725
87636,525600,11697,1902,148.7,4223
