_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine,label
1003068,5272,20785,chick-fil-a,"1180 avenue of the americas,, ,",10036,fast food,ocd cafe,1196 avenue of the americas,10036,cafã©/coffee/tea,0
469420,2029,20213,mission ceviche,"353 w 14th st, ,",10014,seafood food stands peruvian,mo il gelato,353 w 14th st,10014,"ice cream, gelato, yogurt, ices",0
1123677,6975,23836,hong kong restaurant,"30 w 183rd st, ,",10453,chinese,hong kong kitchen,30 w 183rd st,10453,chinese,1
830665,3643,12177,effy's cafe,"104 w 96th st, ,",10025,kosher,effys cafe,104 w 96th st,10025,mediterranean,1
476336,2057,22820,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,mission ceviche,353 w 14th st,10014,seafood,0
916386,4525,9904,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles,0
826151,3603,11178,koko wings,"248 w 106th st,",10025,korean chicken wings,koko wings,248 w 106th st,10025,chicken,1
915897,4504,22782,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood,0
1031298,5444,11745,mooncake foods,"111 john st (pearl street entrance),",10038,asian fusion chinese,mooncake foods,111 john street- pearl st side,10038,asian,1
853233,3913,8270,keur sokhna restaurant,"2249 adam clayton powell jr blvd, ,",10027,senegalese,asian fusion,2071 adam clayton powell jr blvd,10027,asian,0
258397,1220,2299,gg's,"511 e 5th st, ,",10009,american (new) pizza,gg's,511 e 5th st,10009,american,1
554524,2369,22438,great northern food hall,"grand central terminal, 89 e 42nd st",10017,food court bakeries delis,la chula taco & ceviches,89 e 42nd st,10017,mexican,0
445485,1934,22497,the black derby,"310 w 4th st,",10014,american (new),the black derby,310 w 4th st,10014,other,1
848648,3865,15534,chez alain,"2046 adam clayton powell jr blvd, ,",10027,senegalese,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian,0
916393,4525,22908,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,0
1212400,8265,366,pelham bay diner,"1920 e gun hill rd, ,",10469,diners american (new),ethics bar & lounge,1246 e gun hill rd,10469,caribbean,0
1144982,7295,18843,oriental house,"565 e 184th st, ,",10458,chinese,oriental house,565 e 184th st,10458,chinese,1
993799,5240,20584,paramount bar & grill,"paramount hotel, 235 w 46th st,",10036,bars american (traditional),diamond horseshoe,235 w 46th st,10036,american,0
220630,723,7129,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,retro fitness,1 new york plz,10004,"juice, smoothies, fruit salads",0
1169508,7617,21898,la masa,"1000 morris park ave,",10462,comfort food colombian,la masa restaurant,1000 morris park ave,10462,"latin (cuban, dominican, puerto rican, south & central american)",1
915337,4481,22908,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,0
125088,440,3932,the eddy,"342 e 6th st, ,",10003,american (new),the eddy,342 e 6th st,10003,american,1
195861,616,17069,the immigrant,"341 e 9th st,",10003,wine bars,the immigrant tap room,341 e 9th st,10003,other,1
974237,5183,16231,stk midtown,"1114 avenue of the americas, ,",10036,steakhouses american (new) cocktail bars,simon sips,1185 avenue of the americas,10036,cafã©/coffee/tea,0
210,0,19502,barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates,barn joo 35,34 w 35th st,10001,korean,1
798439,3359,14922,simit + smith,"124 w 72nd st, ,",10023,bakeries coffee & tea breakfast & brunch,crepes & delices,124 w 72nd st,10023,cafã©/coffee/tea,0
909034,4418,16190,burger king,"154 e 116th st, ,",10029,burgers,burger king,154 e 116th st,10029,hamburgers,1
1180790,7766,241,smashburger,193 w 237th st,10463,burgers,smashburger,193 w 237th st,10463,american,1
915751,4499,19108,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american,0
221853,743,21483,chop't,"1 new york plz, ,",10004,salad sandwiches,chipotle mexican grill,1 new york plz,10004,mexican,0
1117685,6868,21344,yankee stadium tours,"1 e 161st st, ,",10451,tours,new york yankees mvp club,1 e 161st st,10451,american,0
1003146,5272,17245,chick-fil-a,"1180 avenue of the americas,, ,",10036,fast food,pret a manger,1200 avenue of the americas,10036,sandwiches,0
533568,2274,21715,251 ginza sushi,"251 e 35th st, ,",10016,sushi bars japanese,ginza sushi,251 e 35th st,10016,japanese,1
688168,2822,17739,pizza rollio,"1 w 58th st, ,",10019,pizza,sabi sushi,1 w 58th st,10019,japanese,0
221800,743,7129,chop't,"1 new york plz, ,",10004,salad sandwiches,retro fitness,1 new york plz,10004,"juice, smoothies, fruit salads",0
1114828,6831,3640,merry land chinese restaurant,"325 e 149th st, ,",10451,chinese,merry land,325 e 149th st,10451,chinese,1
904242,4373,7900,asha indian food,"151 e 103rd st, ,",10029,indian,texas chicken & burgers,151 e 103rd st,10029,chicken,0
510141,2187,12015,marta,"29 e 29th st, ,",10016,pizza italian,marta,29 e 29th st,10016,italian,1
259515,1226,19098,upland,"345 park ave s, ,",10010,american (new),upland,345 park ave s,10010,american,1
563994,2420,16060,la chula nyc,"89 e 42nd st, ,",10017,tacos,prova pizza bar,89 e 42nd st,10017,pizza/italian,0
1212410,8265,6722,pelham bay diner,"1920 e gun hill rd, ,",10469,diners american (new),olive's homespice cuisine,1062 e gun hill rd,10469,caribbean,0
1203489,8126,12980,century chinese restaurant,"2861 white plains road, ,",10467,chinese,century chinese restaurant,2861 white plains road,10467,chinese,1
974580,5183,20100,stk midtown,"1114 avenue of the americas, ,",10036,steakhouses american (new) cocktail bars,starbucks,1100 avenue of the americas,10036,cafã©/coffee/tea,0
1188487,7882,9487,johnny's reef restaurant,"2 city island ave, ,",10464,seafood,johnny's reef restaurant,2 city island ave,10464,seafood,1
763182,3169,3303,the garden grill,"206 e 52nd st, ,",10022,american (new),hilton garden inn- manhattan- midtown east,206 e 52nd st,10022,american,1
1185860,7839,13011,papa john's pizza,"161 w 231st st, ,",10463,pizza,new adventure juice bar,161 w 231st st,10463,spanish,0
16564,58,16106,e-mo,"2 w 32nd st, ,",10001,korean,krush,2 w 32nd st,10001,american,0
1006023,5281,20642,haru sushi,"229 w 43rd st, ste 221,",10036,japanese sushi bars,yahoo nyc cafe,229 w 43rd st,10036,american,0
846260,3812,12719,freddy's soul caribbean restaurant,"1980 adam clayton powell jr. blvd., ,",10026,caribbean,juke box juice & salad,1943 adam clayton powell jr boulevard,10026,fruits/vegetables,0
1206138,8153,11949,pizza hut,765 e gun hill rd,10467,pizza,marconi's pizza,179 e gun hill rd,10467,pizza/italian,0
1211035,8242,366,7 spices carribean restaurant,"906 e gun hill rd, ,",10469,caribbean,ethics bar & lounge,1246 e gun hill rd,10469,caribbean,0
1040,3,18952,haymaker bar and kitchen,"252 w 29th st, ,",10001,gastropubs beer bar,haymaker bar & kitchen,252 w 29th st,10001,american,1
259332,1225,13753,sagaponack bar & grill,"4 w 22nd st,",10010,bars american (new) seafood,sagaponack,4 w 22nd st,10010,seafood,1
742719,3093,23920,umi sushi,"303 e 56th st, ,",10022,japanese sushi bars,dai-hachi,303 e 56th st,10022,japanese,1
1200333,8094,21157,la familia restaurant mexicano corporation,"334 e gun hill road, ,",10467,restaurants,china one restaurant,334 e gun hill rd,10467,chinese,0
1151458,7365,2689,fordham university,"441 e fordham rd, ,",10458,colleges & universities,fordham u - cosi at campbell hall,441 e fordham rd,10458,cafã©/coffee/tea,0
1193905,8014,8690,tony's pizza,"4189 white plains road, ,",10466,pizza,tony's pizza,4189 white plains road,10466,pizza,1
916378,4525,19108,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american,0
1203694,8129,13432,frank's pizza and pasta,"3770 white plains rd, ,",10467,pizza,franks pizza and pasta,3770 white plains rd,10467,pizza/italian,1
537376,2291,22219,caesars restaurant,"58 e 34th st, ,",10016,italian,the long hall,58 e 34th st,10016,american,0
1188760,7895,3285,don coqui on the water,"565 city island ave, ,",10464,latin american caribbean venues & event spaces,don cogui,565 city island ave,10464,american,0
766197,3181,15770,avra madison,"14 e 60th st,",10022,greek seafood mediterranean,rotisserie georgette,14 e 60th st,10022,american,0
1069395,6046,10751,didi,"183 port richmond ave, ,",10302,chinese tex-mex,di di,183 port richmond ave,10302,chinese,0
699244,2849,4044,fluffy's cafe & pizzeria,"370 w 58th st,",10019,cafes pizza american (traditional),fluffy's cafe & pizzeria,370 w 58th st,10019,american,1
846670,3819,23396,jumbo's,"112 w 116th st, ,",10026,burgers,jumbo burgers,112 w 116th st,10026,american,1
1190702,7950,7850,frank & joe's deli,"3639 e tremont ave, ,",10465,sandwiches delis,frank and joe's deli,3639 e tremont ave,10465,delicatessen,1
1211630,8252,6722,mandarin wok restaurant,"1232 e gun hill rd, ,",10469,chinese,olive's homespice cuisine,1062 e gun hill rd,10469,caribbean,0
856901,3952,10943,buffalo wild wings,"2319 frederick douglass blvd, ,",10027,chicken wings sports bars american (traditional),buffalo wild wings,2319 frederick douglass blvd,10027,chicken,1
46495,170,20706,crompton ale house,"159 w 26th st,",10001,bars american (new),crompton ale house,159 w 26th st,10001,american,1
1146660,7310,21147,essentials 608,"608 e fordham rd,",10458,restaurants caterers lounges,essential 608,608 e fordham rd,10458,caribbean,0
754626,3137,7819,kung fu little steamed buns ramen,"146 e 55th st, ,",10022,ramen chinese,kung fu little steamed buns,146 e 55th st,10022,chinese,1
554763,2371,10659,agern,"grand central terminal, 89 e 42nd st,",10017,scandinavian bars,the great northern deli and danish dogs,89 e 42nd st,10017,other,0
223987,775,3201,subway,"1 new york plz, ,",10004,fast food sandwiches,cappone's salumeria,1 new york plz,10004,sandwiches,0
1003342,5272,20100,chick-fil-a,"1180 avenue of the americas,, ,",10036,fast food,starbucks,1100 avenue of the americas,10036,cafã©/coffee/tea,0
915913,4505,16562,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,africa kine,2267 adam clayton powell jr blvd,10030,african,0
253353,1194,16933,stuyvesant organic,"536 e 14th st, ,",10009,organic stores salad caterers,stuyvesant organic,536 e 14th st,10009,american,1
574358,2478,15512,calle dao,"38 w 39th st, ,",10018,cuban cocktail bars breakfast & brunch,calle dao,38 w 39th st,10018,"latin (cuban, dominican, puerto rican, south & central american)",1
1131482,7126,22864,johnson's bbq,"790 e 163rd st,",10456,barbeque southern,johnson bar-b-q,790 e 163rd st,10456,soul food,1
1147638,7320,12081,kings fried chicken & pizza,232 e 198th st,10458,chicken wings pizza,kennedy fried chicken,232 e 198th st,10458,american,0
263963,1256,23339,maui onion,"35 w 26th st,",10010,poke salad hawaiian,hanjan,35 w 26th st,10010,other,0
4955,18,9849,ocabanon,"245 w 29th st,",10001,french wine bars tapas bars,ocabanon,245 w 29th st,10001,french,1
915454,4485,19108,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american,0
1191155,7959,21736,china wok,"3839 e tremont ave, ,",10465,chinese,china wok,3839 e tremont ave,10465,chinese,1
1148813,7334,6890,rocco's pizzeria,"397 bedford park boulevard, ,",10458,pizza,rocco's pizza,397 bedford park boulevard,10458,pizza,1
1197163,8056,10597,vip's cafe,"131 e gun hill rd, ,",10467,sandwiches italian,18 east gunhill pizza,18 e gun hill rd,10467,pizza,0
843704,3760,22807,row house,"2128 frederick douglass blvd, ,",10026,american (new) tapas/small plates cocktail bars,row house,2128 frederick douglass blvd,10026,american,1
1092367,6576,10654,chen's garden ii,"1547 arthur kill rd, ,",10312,chinese,chen's garden,1547 arthur kill rd,10312,chinese,1
736216,3068,11970,salvation burger,"230 e 51st st, ,",10022,burgers salad cocktail bars,salvation burger,230 e 51st st,10022,american,1
290079,1384,5054,yakiniku futago,"37 w 17th st, ,",10011,japanese barbeque,yakiniku futago,37 w 17th st,10011,japanese,1
916392,4525,22782,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood,0
916061,4509,9565,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)",0
713614,2904,19912,yia yia's- homemade greek food,"404 e 69th st,",10021,greek fast food,yia yia,404 e 69th st,10021,greek,0
1201771,8107,18663,island breezes ii,3634 white plains rd,10467,caribbean,ochie bekkle carribbean american kool restaurant,3634 white plains rd,10467,caribbean,0
1212800,8272,6722,rk super heros,"978 e gun hill rd, ,",10469,sandwiches,olive's homespice cuisine,1062 e gun hill rd,10469,caribbean,0
1189854,7932,22340,alley cat smokehouse,"3604 e tremont ave, ste c,",10465,smokehouse,alley cat smokehouse,3604 e tremont ave,10465,barbecue,1
40323,146,17146,barilla restaurants,"108 w 32nd st, ,",10001,italian,barilla restaurants,108 w 32nd st,10001,italian,1
825467,3595,23806,vin sur vingt,"66 w 84th st,",10024,wine bars,vin sur vingt,66 w 84th st,10024,other,1
916459,4527,22908,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,0
894991,4296,19282,neapolitan express,"232 e 111th st, ,",10029,pizza italian,neapolitan express,232 e 111th st,10029,pizza,1
875250,4134,9205,jacques,"204 e 85th st, ste 206,",10028,french,jaques brasserie,204 e 85th st,10028,french,1
1021428,5343,8096,king garden,"1 w 137th st, 5 ave,",10037,chinese,king garden restaurant,1 w 137th st,10037,chinese,1
1047200,5702,2452,bluestone lane,"2 e 90th st, ,",10128,coffee & tea breakfast & brunch gluten-free,bluestone lane,2 e 90th st,10128,cafã©/coffee/tea,1
915458,4485,21166,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean,0
1205123,8143,3478,papa john's pizza,362 e 204th st,10467,pizza,papa john's,362 e 204th st,10467,pizza,1
1021409,5343,17864,king garden,"1 w 137th st, 5 ave,",10037,chinese,kennedy fried chicken & pizza,1 w 137th st,10037,chicken,0
1211101,8243,3246,caridad and louie's restaurant,"1660 e gun hill rd, ,",10469,italian latin american spanish,central caribbean bakery,1322 e gun hill rd,10469,bakery,0
616544,2636,8850,beyond sushi midtown west,"62 w 56th st, ,",10019,sushi bars vegan vegetarian,beyond sushi nyc inc,62 w 56th st,10019,vegetarian,0
1061672,5867,17222,chipotle mexican grill,"325 s  end ave, ,",10280,mexican fast food,chipotle mexican grill,325 s end ave,10280,mexican,1
1044067,5609,15540,new leaf restaurant & bar,"1 margaret corbin dr, ,",10040,bars american (new),new leaf,1 margaret corbin dr,10040,american,1
916448,4527,21166,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean,0
323238,1507,22418,la panineria,"1 w 8th st,",10011,italian sandwiches,lena,1 w 8th st,10011,bakery,0
695621,2839,16660,pazza notte,"1375 avenue of the americas, ,",10019,italian lounges cocktail bars,mastro's steakhouse,1285 avenue of the americas,10019,steak,0
42564,155,1922,hanbat restaurant,"53 w 35th st, ,",10001,korean seafood,mew,53 w 35th st,10001,japanese,0
1188813,7900,19569,scavello's city island,101 city island ave,10464,grocery caterers delis,scavello's on the island,101 city island ave,10464,italian,0
1211110,8243,6722,caridad and louie's restaurant,"1660 e gun hill rd, ,",10469,italian latin american spanish,olive's homespice cuisine,1062 e gun hill rd,10469,caribbean,0
915227,4478,21166,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean,0
1170643,7634,19605,don emilio diner,"1315 castle hill ave,",10462,spanish,don emilio diner restaurant,1315 castle hill ave,10462,"latin (cuban, dominican, puerto rican, south & central american)",1
855893,3940,15534,harlem karibe restaurant & catering,"2234 adam clayton powell jr blvd, ,",10027,haitian latin american cuban,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian,0
1114684,6830,1662,pizza world,"509 e 163rd st, ,",10451,pizza,pizza world,509 e 163rd st,10451,pizza,1
851738,3896,8270,delhi masala,"2077 adam clayton powell jr blvd,",10027,indian buffets,asian fusion,2071 adam clayton powell jr blvd,10027,asian,0
916382,4525,21166,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean,0
1119190,6893,16356,angelo's deli #2,120 e mount eden ave,10452,breakfast & brunch delis sandwiches,king dragon restaurant,120 e mount eden ave,10452,chicken,0
1203367,8125,12280,golden crust patties,"2718 white plains rd, ,",10467,caribbean,golden krust caribbean bakery & grill,2718 white plains rd,10467,caribbean,0
520874,2230,15383,fine & rare,"9 e 37th st,",10016,american (new) jazz & blues lounges,fine & rare,9 e 37th st,10016,other,1
1067883,6008,12051,los potrillos,"150 port richmond ave, ,",10302,mexican,los potrillos restaurant,150 port richmond ave,10302,mexican,1
942920,4968,20088,el fuerte deli restaurant,"582 w 207th st,",10034,dominican latin american american (traditional),el fuerte deli restaurant,582 w 207th st,10034,"latin (cuban, dominican, puerto rican, south & central american)",1
590597,2561,20595,chick-fil-a,"1000 avenue of the americas, ,",10018,fast food,moe's southwest grill,1029a avenue of the americas,10018,southwestern,0
729876,3047,21442,kiss my french,"303 e 53rd st,",10022,tapas bars french cocktail bars,kiss my french,303 e 53rd st,10022,american,1
1078891,6253,20882,amore a la mexicana,"10 new dorp ln, ,",10306,mexican food delivery services,amor mexicana,10 new dorp ln,10306,mexican,0
1416,4,1922,izakaya mew,"53 w 35th st, basement,",10001,sushi bars izakaya cocktail bars,mew,53 w 35th st,10001,japanese,1
1212791,8272,3246,rk super heros,"978 e gun hill rd, ,",10469,sandwiches,central caribbean bakery,1322 e gun hill rd,10469,bakery,0
861298,4005,15534,kennedy fried chicken,"2057 adam clayton powell blvd, ,",10027,fast food chicken wings,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian,0
1161143,7517,23648,la casa del sabor,"2728 e tremont ave, ,",10461,latin american,la casa del sabor,2728 e tremont ave,10461,"latin (cuban, dominican, puerto rican, south & central american)",1
1074231,6181,18847,it's a wrap!,"837 father capodanno blvd, ste 1b,",10305,creperies american (new) fast food,kraja cafe,837 father capodanno blvd,10305,mediterranean,0
1200418,8095,10473,kemmie restaurant & cuisine,"883 e gun hill rd, ,",10467,latin american,gustoso juice lounge,751b e gun hill rd,10467,"juice, smoothies, fruit salads",0
915629,4493,21380,a taste of seafood express,"2530 135th st frederick douglass blvd, ,",10030,seafood,a taste of seafood restaurant,2530 frederick douglass blvd,10030,seafood,0
917818,4547,7924,"agave mexican, spanish & american grill","398 w 145th st, ,",10031,mexican spanish latin american,agave mexican & american grill,398 w 145th st,10031,mexican,1
1176156,7704,5182,sing garden restaurant,"1165 castle hill ave, ,",10462,chinese,sing garden restaurant,1165 castle hill ave,10462,chinese,1
1204260,8135,10473,new ming ling kitchen,"236 e gun hill rd, ,",10467,chinese,gustoso juice lounge,751b e gun hill rd,10467,"juice, smoothies, fruit salads",0
915920,4505,21166,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean,0
1206090,8153,10597,pizza hut,765 e gun hill rd,10467,pizza,18 east gunhill pizza,18 e gun hill rd,10467,pizza,0
588127,2550,20595,6 ave tobacco & magazine & coffee shop,"1013 avenue of the americas, ,",10018,delis,moe's southwest grill,1029a avenue of the americas,10018,southwestern,0
590718,2561,12256,chick-fil-a,"1000 avenue of the americas, ,",10018,fast food,chick-fil-a,1000 avenue of the americas,10018,chicken,1
882041,4185,23722,gracie's on 2nd diner,"300 e 86th st, ,",10028,diners,tasti d lite,300 e 86th st,10028,other,0
847717,3845,7059,first corinthian baptist church,"1912 adam clayton powell jr blvd, ,",10026,churches,cantina,1838 adam clayton powell jr bl,10026,mexican,0
590230,2558,16388,maison kayser,"8 w 40th st, ,",10018,bakeries french desserts,maison kayser,8 w 40th st,10018,bakery,1
245882,1150,22660,gnoccheria by luzzo's,"234 e 4th st, ,",10009,italian,secara,234 e 4th st,10009,spanish,0
946205,5039,23909,bosa's pizza of harlem,"256 e 125th st,",10035,pizza,bosa of harlem,256 e 125th st,10035,pizza,1
1212487,8266,21868,country boyz restaurant,"1182 e gun hill rd, ,",10469,caribbean fast food,m and c foodz to go,1322a e gun hill rd,10469,caribbean,0
6748,23,22347,muk eun ji,"34 w 32nd st, fl 1,",10001,korean barbeque,space billard,34 w 32nd st,10001,korean,0
1025514,5393,15000,famous calabria,"27 saint james pl,",10038,pizza,famous calabria pizzeria,27 saint james pl,10038,pizza/italian,1
856967,3953,23808,subway,"578 w 125th st, ,",10027,fast food sandwiches,subway,578 w 125th st,10027,sandwiches/salads/mixed buffet,1
939984,4919,4522,cafe tabaco & ron,"501 w 214th st, ,",10034,latin american,cafe tabaco & ron,501 w 214th st,10034,"latin (cuban, dominican, puerto rican, south & central american)",1
1211745,8254,15331,ultimate grill,"1345 e gun hill rd, ,",10469,caribbean,kennedy fried chicken,1359 e gun hill rd,10469,american,0
307283,1446,17742,bodega negra,"dream downtown, 355 w 16th st,",10011,mexican,megu,355 w 16th st,10011,japanese,0
1212466,8266,3246,country boyz restaurant,"1182 e gun hill rd, ,",10469,caribbean fast food,central caribbean bakery,1322 e gun hill rd,10469,bakery,0
1212437,8265,6809,pelham bay diner,"1920 e gun hill rd, ,",10469,diners american (new),876 bar lounge,1320 e gun hill rd,10469,american,0
1118916,6889,2761,budda restaurant & lounge,"1353 edward l grant hwy, ,",10452,hookah bars lounges,budda,1353 edward l grant hwy,10452,"latin (cuban, dominican, puerto rican, south & central american)",1
1131663,7130,21552,kennedy fried chicken,198 e 167th st,10456,chicken wings,kennedy fried chicken,198 e 167th st,10456,chicken,1
476465,2057,16258,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,three little pigs,353 w 14th st,10014,other,0
469525,2029,15450,mission ceviche,"353 w 14th st, ,",10014,seafood food stands peruvian,la sonrisa empanadas,353 w 14th st,10014,mexican,0
997301,5254,12344,bluestone lane,"1114 ave of the americas,",10036,coffee & tea gluten-free breakfast & brunch,stk,1114 avenue of the americas,10036,steak,0
915931,4505,22908,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,1
1200440,8095,10597,kemmie restaurant & cuisine,"883 e gun hill rd, ,",10467,latin american,18 east gunhill pizza,18 e gun hill rd,10467,pizza,0
